Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1994,-2651326.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1995,-2635340.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1996,-2831958.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1997,-2178576.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1998,-2573803.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1999,-2447120.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2000,-1535186.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2001,-2268429.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2002,-4327705.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2003,-3502015.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2004,-3104621.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2005,-4348341.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2006,-5515472.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2007,-5548554.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2008,-4972944.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2009,-4159099.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2010,-2873179.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2011,-3420335.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2012,-2424713.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2013,-1325215.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2014,-1471117.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2015,-2161834.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2016,-3228905.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2017,-2601390.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2018,-3080165.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2019,-3362170.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2020,-543952.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2021,-1268068.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,2022,-8253094.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1960,2606.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1961,6109.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1962,7016.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1963,6681.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1964,7079.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1965,10695.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1966,3563.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1967,6824.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1968,3333.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1969,2029.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1970,4458.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1971,-12801.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1972,-4050.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1973,-3030.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1974,-20009.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1975,-44418.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1976,-85430.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1977,-83115.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1978,-117186.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1979,-481199.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1980,-1205401.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1981,-2127145.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1982,-586943.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1983,-192869.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1984,322022.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1985,-210572.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1986,-427073.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1987,-402606.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1988,-89837.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1989,2683.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1990,-666001.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1991,39926.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1992,1834556.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1993,1171818.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1994,665410.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1995,71824.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1996,27194.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1997,6129.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1998,35740.0
Afganistán,AFG,Migración neta,SM.POP.NETM,1999,85758.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2000,-1007135.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2001,-192286.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2002,1327074.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2003,388632.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2004,-248616.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2005,252185.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2006,62684.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2007,-942887.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2008,221000.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2009,-58881.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2010,-141355.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2011,418796.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2012,105905.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2013,48076.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2014,255611.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2015,-281739.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2016,-90238.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2017,-47090.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2018,-47205.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2019,-8082.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2020,166821.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2021,-183672.0
Afganistán,AFG,Migración neta,SM.POP.NETM,2022,-65846.0
Albania,ALB,Migración neta,SM.POP.NETM,1960,15540.0
Albania,ALB,Migración neta,SM.POP.NETM,1961,15424.0
Albania,ALB,Migración neta,SM.POP.NETM,1962,15288.0
Albania,ALB,Migración neta,SM.POP.NETM,1963,15007.0
Albania,ALB,Migración neta,SM.POP.NETM,1964,14612.0
Albania,ALB,Migración neta,SM.POP.NETM,1965,14209.0
Albania,ALB,Migración neta,SM.POP.NETM,1966,13747.0
Albania,ALB,Migración neta,SM.POP.NETM,1967,13164.0
Albania,ALB,Migración neta,SM.POP.NETM,1968,12504.0
Albania,ALB,Migración neta,SM.POP.NETM,1969,11991.0
Albania,ALB,Migración neta,SM.POP.NETM,1970,11102.0
Albania,ALB,Migración neta,SM.POP.NETM,1971,10007.0
Albania,ALB,Migración neta,SM.POP.NETM,1972,8796.0
Albania,ALB,Migración neta,SM.POP.NETM,1973,7346.0
Albania,ALB,Migración neta,SM.POP.NETM,1974,5834.0
Albania,ALB,Migración neta,SM.POP.NETM,1975,3922.0
Albania,ALB,Migración neta,SM.POP.NETM,1976,1646.0
Albania,ALB,Migración neta,SM.POP.NETM,1977,-683.0
Albania,ALB,Migración neta,SM.POP.NETM,1978,-3324.0
Albania,ALB,Migración neta,SM.POP.NETM,1979,-6146.0
Albania,ALB,Migración neta,SM.POP.NETM,1980,-9135.0
Albania,ALB,Migración neta,SM.POP.NETM,1981,-12432.0
Albania,ALB,Migración neta,SM.POP.NETM,1982,-15706.0
Albania,ALB,Migración neta,SM.POP.NETM,1983,-19231.0
Albania,ALB,Migración neta,SM.POP.NETM,1984,-23253.0
Albania,ALB,Migración neta,SM.POP.NETM,1985,-27468.0
Albania,ALB,Migración neta,SM.POP.NETM,1986,-32143.0
Albania,ALB,Migración neta,SM.POP.NETM,1987,-37189.0
Albania,ALB,Migración neta,SM.POP.NETM,1988,-42393.0
Albania,ALB,Migración neta,SM.POP.NETM,1989,-48054.0
Albania,ALB,Migración neta,SM.POP.NETM,1990,-52723.0
Albania,ALB,Migración neta,SM.POP.NETM,1991,-56599.0
Albania,ALB,Migración neta,SM.POP.NETM,1992,-59634.0
Albania,ALB,Migración neta,SM.POP.NETM,1993,-61925.0
Albania,ALB,Migración neta,SM.POP.NETM,1994,-63700.0
Albania,ALB,Migración neta,SM.POP.NETM,1995,-65106.0
Albania,ALB,Migración neta,SM.POP.NETM,1996,-65800.0
Albania,ALB,Migración neta,SM.POP.NETM,1997,-65975.0
Albania,ALB,Migración neta,SM.POP.NETM,1998,-65616.0
Albania,ALB,Migración neta,SM.POP.NETM,1999,-64787.0
Albania,ALB,Migración neta,SM.POP.NETM,2000,-63610.0
Albania,ALB,Migración neta,SM.POP.NETM,2001,-62059.0
Albania,ALB,Migración neta,SM.POP.NETM,2002,-59876.0
Albania,ALB,Migración neta,SM.POP.NETM,2003,-57308.0
Albania,ALB,Migración neta,SM.POP.NETM,2004,-54383.0
Albania,ALB,Migración neta,SM.POP.NETM,2005,-50855.0
Albania,ALB,Migración neta,SM.POP.NETM,2006,-47174.0
Albania,ALB,Migración neta,SM.POP.NETM,2007,-43019.0
Albania,ALB,Migración neta,SM.POP.NETM,2008,-38736.0
Albania,ALB,Migración neta,SM.POP.NETM,2009,-34116.0
Albania,ALB,Migración neta,SM.POP.NETM,2010,-29330.0
Albania,ALB,Migración neta,SM.POP.NETM,2011,-24465.0
Albania,ALB,Migración neta,SM.POP.NETM,2012,-19946.0
Albania,ALB,Migración neta,SM.POP.NETM,2013,-16845.0
Albania,ALB,Migración neta,SM.POP.NETM,2014,-14265.0
Albania,ALB,Migración neta,SM.POP.NETM,2015,-12240.0
Albania,ALB,Migración neta,SM.POP.NETM,2016,-10887.0
Albania,ALB,Migración neta,SM.POP.NETM,2017,-9768.0
Albania,ALB,Migración neta,SM.POP.NETM,2018,-9106.0
Albania,ALB,Migración neta,SM.POP.NETM,2019,-8889.0
Albania,ALB,Migración neta,SM.POP.NETM,2020,-9117.0
Albania,ALB,Migración neta,SM.POP.NETM,2021,-10612.0
Albania,ALB,Migración neta,SM.POP.NETM,2022,-8000.0
Alemania,DEU,Migración neta,SM.POP.NETM,1960,100380.0
Alemania,DEU,Migración neta,SM.POP.NETM,1961,121350.0
Alemania,DEU,Migración neta,SM.POP.NETM,1962,137698.0
Alemania,DEU,Migración neta,SM.POP.NETM,1963,152170.0
Alemania,DEU,Migración neta,SM.POP.NETM,1964,162533.0
Alemania,DEU,Migración neta,SM.POP.NETM,1965,170903.0
Alemania,DEU,Migración neta,SM.POP.NETM,1966,176562.0
Alemania,DEU,Migración neta,SM.POP.NETM,1967,178457.0
Alemania,DEU,Migración neta,SM.POP.NETM,1968,178954.0
Alemania,DEU,Migración neta,SM.POP.NETM,1969,175007.0
Alemania,DEU,Migración neta,SM.POP.NETM,1970,168468.0
Alemania,DEU,Migración neta,SM.POP.NETM,1971,157046.0
Alemania,DEU,Migración neta,SM.POP.NETM,1972,141396.0
Alemania,DEU,Migración neta,SM.POP.NETM,1973,121476.0
Alemania,DEU,Migración neta,SM.POP.NETM,1974,95670.0
Alemania,DEU,Migración neta,SM.POP.NETM,1975,63902.0
Alemania,DEU,Migración neta,SM.POP.NETM,1976,25585.0
Alemania,DEU,Migración neta,SM.POP.NETM,1977,-919.0
Alemania,DEU,Migración neta,SM.POP.NETM,1978,-15269.0
Alemania,DEU,Migración neta,SM.POP.NETM,1979,-18647.0
Alemania,DEU,Migración neta,SM.POP.NETM,1980,-9445.0
Alemania,DEU,Migración neta,SM.POP.NETM,1981,10722.0
Alemania,DEU,Migración neta,SM.POP.NETM,1982,42143.0
Alemania,DEU,Migración neta,SM.POP.NETM,1983,85198.0
Alemania,DEU,Migración neta,SM.POP.NETM,1984,142722.0
Alemania,DEU,Migración neta,SM.POP.NETM,1985,214794.0
Alemania,DEU,Migración neta,SM.POP.NETM,1986,304200.0
Alemania,DEU,Migración neta,SM.POP.NETM,1987,375035.0
Alemania,DEU,Migración neta,SM.POP.NETM,1988,427377.0
Alemania,DEU,Migración neta,SM.POP.NETM,1989,461795.0
Alemania,DEU,Migración neta,SM.POP.NETM,1990,479954.0
Alemania,DEU,Migración neta,SM.POP.NETM,1991,482849.0
Alemania,DEU,Migración neta,SM.POP.NETM,1992,470043.0
Alemania,DEU,Migración neta,SM.POP.NETM,1993,441211.0
Alemania,DEU,Migración neta,SM.POP.NETM,1994,394809.0
Alemania,DEU,Migración neta,SM.POP.NETM,1995,330244.0
Alemania,DEU,Migración neta,SM.POP.NETM,1996,246097.0
Alemania,DEU,Migración neta,SM.POP.NETM,1997,178604.0
Alemania,DEU,Migración neta,SM.POP.NETM,1998,125369.0
Alemania,DEU,Migración neta,SM.POP.NETM,1999,86982.0
Alemania,DEU,Migración neta,SM.POP.NETM,2000,60905.0
Alemania,DEU,Migración neta,SM.POP.NETM,2001,48500.0
Alemania,DEU,Migración neta,SM.POP.NETM,2002,45985.0
Alemania,DEU,Migración neta,SM.POP.NETM,2003,54381.0
Alemania,DEU,Migración neta,SM.POP.NETM,2004,73107.0
Alemania,DEU,Migración neta,SM.POP.NETM,2005,102694.0
Alemania,DEU,Migración neta,SM.POP.NETM,2006,145046.0
Alemania,DEU,Migración neta,SM.POP.NETM,2007,180746.0
Alemania,DEU,Migración neta,SM.POP.NETM,2008,211709.0
Alemania,DEU,Migración neta,SM.POP.NETM,2009,240968.0
Alemania,DEU,Migración neta,SM.POP.NETM,2010,267047.0
Alemania,DEU,Migración neta,SM.POP.NETM,2011,293051.0
Alemania,DEU,Migración neta,SM.POP.NETM,2012,317082.0
Alemania,DEU,Migración neta,SM.POP.NETM,2013,342555.0
Alemania,DEU,Migración neta,SM.POP.NETM,2014,369027.0
Alemania,DEU,Migración neta,SM.POP.NETM,2015,397921.0
Alemania,DEU,Migración neta,SM.POP.NETM,2016,432017.0
Alemania,DEU,Migración neta,SM.POP.NETM,2017,430803.0
Alemania,DEU,Migración neta,SM.POP.NETM,2018,392587.0
Alemania,DEU,Migración neta,SM.POP.NETM,2019,360560.0
Alemania,DEU,Migración neta,SM.POP.NETM,2020,334055.0
Alemania,DEU,Migración neta,SM.POP.NETM,2021,312735.0
Alemania,DEU,Migración neta,SM.POP.NETM,2022,154592.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1960,-240354.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1961,-253994.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1962,-285849.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1963,-310437.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1964,-320507.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1965,-314347.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1966,-375662.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1967,-368442.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1968,-401322.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1969,-420707.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1970,-412262.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1971,-476929.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1972,-488804.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1973,-487163.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1974,-501700.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1975,-536851.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1976,-600291.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1977,-429505.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1978,-452263.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1979,-461914.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1980,-631207.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1981,-921578.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1982,-860686.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1983,-808712.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1984,-883903.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1985,-927596.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1986,-1032454.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1987,-1010049.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1988,-934047.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1989,-957281.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1990,-635393.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1991,-789362.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1992,-736813.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1993,-799413.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1994,-727304.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1995,-812708.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1996,-814722.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1997,-802462.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1998,-798462.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,1999,-870278.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2000,-933168.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2001,-949876.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2002,-947054.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2003,-1001536.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2004,-922857.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2005,-1043018.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2006,-1021265.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2007,-998162.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2008,-1032747.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2009,-958488.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2010,-590240.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2011,-495889.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2012,-488483.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2013,-535370.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2014,-494419.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2015,-424043.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2016,-139806.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2017,-281608.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2018,-338149.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2019,-424522.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2020,-163087.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2021,-273494.0
América Latina y el Caribe,LCN,Migración neta,SM.POP.NETM,2022,-175350.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1960,-184590.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1961,-201265.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1962,-226212.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1963,-241556.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1964,-252140.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1965,-242521.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1966,-304429.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1967,-298752.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1968,-333428.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1969,-352571.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1970,-359175.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1971,-420398.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1972,-423617.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1973,-419958.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1974,-436270.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1975,-478755.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1976,-544356.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1977,-375978.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1978,-405938.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1979,-413051.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1980,-577219.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1981,-886641.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1982,-827784.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1983,-777274.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1984,-853213.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1985,-894465.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1986,-996584.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1987,-974553.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1988,-900055.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1989,-923917.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1990,-610598.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1991,-764501.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1992,-707802.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1993,-765068.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1994,-689675.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1995,-774004.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1996,-779070.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1997,-755686.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1998,-757041.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,1999,-831172.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2000,-884758.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2001,-900177.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2002,-897925.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2003,-956510.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2004,-880840.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2005,-1002451.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2006,-984328.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2007,-957240.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2008,-983347.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2009,-904804.0
América Latina y el Caribe (BIRF y la AIF),TLA,Migración neta,SM.POP.NETM,2010,-532835.0
